index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
24,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,55.0,2,1,None,73.82
25,Avinguda de Pérez Galdós,Nou Moles ,L'Olivereta,97.0,3,1,None,130.0
26,calle del Arzobispo Company,El Cabanyal-El Canyamelar ,Poblats Marítims,110.0,3,1,None,125.0
27,calle de Ramón Marquet,Aiora ,Camins al Grau,186.0,2,3,None,119.0
28,calle Presen Saez Descatillar,Tres Forques ,L'Olivereta,80.0,3,2,None,78.0
29,Pobles del Sud ,El Perellonet ,Pobles del Sud,78.0,2,2,None,110.0
0,Avenida de San José Artesano,Benicalap ,Benicalap,71.0,3,1,None,54.0
1,Avinguda de Joan XXIII,Benicalap ,Benicalap,56.0,3,1,None,65.0
2,calle de Santiago Rusiñol,Orriols ,Rascanya,80.0,3,1,None,93.0
3,calle de Luis Despuig,El Cabanyal-El Canyamelar ,Poblats Marítims,102.0,2,1,None,125.0
4,calle de Juan de Aguiló,La Raiosa ,Jesús,86.0,4,1,None,89.0
5,calle de Rascaña,Campanar ,Campanar,93.0,4,2,None,130.0
6,Carrer de la Quilla,El Perellonet ,Pobles del Sud,70.0,3,1,None,98.0
7,calle de Cuenca Tramoyeres,Benimaclet ,Benimaclet,69.0,3,1,None,130.0
8,Carrer de Beneixida,Tres Forques ,L'Olivereta,65.0,2,1,None,58.0
9,Lolivereta,Nou Moles ,L'Olivereta,90.0,3,1,None,85.0
10,Avinguda de Burjasot,Benicalap ,Benicalap,180.0,3,2,None,120.0
11,Avenida de la Constitución,Orriols ,Rascanya,70.0,3,1,None,94.0
13,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,90.0
17,Camino Viejo de Chirivella,Soternes ,L'Olivereta,80.0,4,1,None,77.0
18,Avenida de Ausiàs March,Malilla ,Quatre Carreres,86.0,3,1,None,102.0
19,calle del Pintor Maella,La Creu del Grau ,Camins al Grau,80.0,4,3,None,125.0
