index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
2,calle de Giménez y Costa,La Torre ,Pobles del Sud,103.0,2,2,None,110.5,39.4336813,-0.3892866
3,calle de la Madera,Aiora ,Camins al Grau,65.0,3,1,None,65.0,None,None
4,Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,102.0,3,1,None,125.0,39.4934831,-0.3898259
7,calle del Conseller Francisco Bosch,La Fontsanta ,L'Olivereta,70.0,2,1,None,58.9,39.4654287,-0.4069626
8,Avinguda de Burjasot,Marxalenes ,La Saïdia,73.0,3,1,None,117.0,39.4885349,-0.3894175
9,Plaza Regino Mas,Ciutat Fallera ,Benicalap,74.0,2,1,None,56.5,None,None
10,calle de María de Molina,L'Hort de Senabre ,Jesús,87.0,3,1,None,95.9,39.4524613,-0.3899214
11,Avinguda de Tres Forques,Tres Forques ,L'Olivereta,88.0,4,1,None,95.0,39.4637178,-0.4053235
12,Sant Marcel·Lí,Sant Marcel·lí ,Jesús,95.0,3,2,None,130.0,39.4455365,-0.3904804
17,calle de la Democracia,Nou Moles ,L'Olivereta,109.0,3,1,None,98.0,39.4726907,-0.4073637
18,calle de Alcalá de Chivert,Camí Real ,Jesús,90.0,3,1,None,105.0,None,None
19,Extramurs ,La Petxina ,Extramurs,61.0,3,1,None,115.0,39.4708608,-0.3881723
20,Carrer de Olimpia Arozena Torres 'Professora,Nou Moles ,L'Olivereta,87.0,4,1,None,99.0,None,None
21,calle de la Barraca,El Cabanyal-El Canyamelar ,Poblats Marítims,110.0,3,1,None,130.0,39.4689448,-0.3291523
22,calle de La Gomera,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,115.0,39.4816714,-0.3292854
24,calle de Andrés Piles Ibars,Benicalap ,Benicalap,84.0,3,1,None,68.313,None,None
26,calle de Bello,El Grau ,Poblats Marítims,70.0,3,1,None,130.0,None,None
27,calle Castell de Benissano,Montolivet ,Quatre Carreres,58.0,2,1,None,70.0,None,None
29,Jesús,Favara ,Patraix,92.0,3,1,None,79.0,39.4614675,-0.3874816
0,calle de Giménez y Costa,La Torre ,Pobles del Sud,123.0,3,2,None,124.5,39.4336813,-0.3892866
1,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,90.0,39.4612806,-0.3395379
2,Carrer del Picaio,Sant Francesc ,Ciutat Vella,73.0,3,1,None,75.0,None,None
3,Carrer de San Vicente Mártir,Sant Francesc ,Ciutat Vella,109.0,3,1,None,115.0,39.46982,-0.3786303
5,calle de la Escotilla,El Perellonet ,Pobles del Sud,74.0,3,2,None,76.0,None,None
6,calle de Vicente Brull,El Grau ,Poblats Marítims,61.0,2,1,None,90.0,39.4658057,-0.3325542
7,Carrer de la República Argentina,L'Amistat ,Algirós,65.0,3,2,None,105.0,39.4722334,-0.3518213
8,calle del Padre Viñas,Orriols ,Rascanya,75.0,2,1,None,59.9,None,None
9,Gran Vía,València Capital,None,70.0,1,2,None,120.0,38.3673347,-0.4124449205494879
10,calle de Mosén Fenollar,Patraix ,Patraix,91.0,3,1,None,99.0,None,None
11,calle de Felipe Rinaldi,Torrefiel ,Rascanya,85.0,3,1,None,65.0,39.4932771,-0.3769981
13,calle del Castillo de Cullera,Faitanar ,Pobles del Sud,86.0,4,1,None,56.6,39.4354296,-0.3925185
17,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,3,1,None,79.0,None,None
19,calle del Médico Esteve,La Raiosa ,Jesús,89.0,3,1,None,109.5,None,None
21,Pasaje de Suay,Torrefiel ,Rascanya,61.0,3,1,None,49.9,39.4905351,-0.3817357
22,Carrer del General Llorens,Benicalap ,Benicalap,58.0,2,1,None,69.0,39.4915936,-0.3859366
23,calle del Micer Rabasa,La Raiosa ,Jesús,88.0,1,1,Obra nueva,129.9,None,None
24,calle del Doctor Nicasio Benlloch,Campanar ,Campanar,75.0,3,1,None,86.0,None,None
25,calle de Carrícola,L'Hort de Senabre ,Jesús,65.0,2,1,None,65.0,39.4518126,-0.3871348
26,* A,Tres Forques ,L'Olivereta,90.0,3,1,None,88.0,39.46945945,-0.4044989887205296
27,calle de Santander,L'Hort de Senabre ,Jesús,67.0,2,1,None,118.0,39.4541427,-0.3889606
28,Carrer de Domingo Gómez,Torrefiel ,Rascanya,100.0,3,1,None,98.0,None,None
29,calle del Duque de Gaeta,Aiora ,Camins al Grau,65.0,2,1,None,85.5,39.4676541,-0.3491982
2,Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,80.0,3,1,None,110.0,39.453683,-0.3901369
3,Avinguda de Burjasot,Les Tendetes ,Campanar,68.0,3,1,None,67.0,39.4885349,-0.3894175
4,calle de Velázquez,Nou Moles ,L'Olivereta,123.0,4,2,None,130.0,39.4736495,-0.4017813
6,calle de la Dama de Elche,Aiora ,Camins al Grau,98.0,3,1,None,119.0,39.4622729,-0.3430564
7,calle del Arquitecto Alfaro,El Grau ,Poblats Marítims,80.0,3,1,None,119.0,None,None
9,calle del Compromiso de Caspe,La Raiosa ,Jesús,82.0,4,1,None,85.0,None,None
10,calle Parque de Nazaret,Natzaret ,Poblats Marítims,66.0,3,1,None,65.0,39.4502166,-0.3326164
11,calle de Zapadores,Montolivet ,Quatre Carreres,80.0,3,1,None,125.0,39.4585173,-0.3686143
12,Carrer del Poeta Maragall,La Raiosa ,Jesús,72.0,1,1,None,84.9,39.4564917,-0.3891302
13,calle de Daroca,Orriols ,Rascanya,59.0,2,1,None,63.0,39.4960427,-0.3687883
14,Torrefiel,Orriols ,Rascanya,91.0,2,1,None,95.0,39.494647799999996,-0.376130279007177
15,calle San Juan de La Peña,Orriols ,Rascanya,76.0,3,1,None,40.0,39.4956023,-0.3691913
16,calle de Pego,Benimàmet ,Pobles de l'Oest,112.0,3,2,None,127.9,39.5021641,-0.4182302
17,Quatre Carreres ,Na Rovella ,Quatre Carreres,85.0,2,1,None,115.0,39.4468789,-0.3693793
18,calle San Juan de La Peña,Orriols ,Rascanya,80.0,3,1,None,67.0,39.4956023,-0.3691913
20,Carrer de Domingo Gómez,Torrefiel ,Rascanya,94.0,4,1,None,76.99,None,None
21,Carrer de Sant Joan Bosco,Orriols ,Rascanya,85.0,3,1,None,59.9,39.4974577,-0.3692689
23,Quatre Carreres ,Montolivet ,Quatre Carreres,62.0,2,1,None,72.0,39.4468789,-0.3693793
24,calle de Alcañiz,Torrefiel ,Rascanya,92.0,4,1,None,73.0,None,None
27,calle del Pintor Stolz,Nou Moles ,L'Olivereta,86.0,3,1,None,99.999,39.469999,-0.4025462
28,calle de Escalante,Beteró ,Poblats Marítims,81.0,2,1,None,110.0,None,None
